1.	Denali	20,310	20,146	AK	Central Alaska Range	4629.4	352
2.	Denali - North Peak	19,470	1270	AK	Central Alaska Range	1.6	6
 	Peak 18735	18,735	235	AK	Central Alaska Range	.6	0
3.	Mount Saint Elias	18,008	11,184	AK/YT	Southern Icefield Ranges	25.4	5
4.	Mount Foraker	17,400	7200	AK	Central Alaska Range	13.5	8
 	Peak 17400	17,400	200	AK	Central Alaska Range	.7	0
 	Mount Foraker - South Peak	16,812	212	AK	Central Alaska Range	.6	0
5.	Mount Bona	16,500	6870	AK	Northern Saint Elias Mountains	49.4	9
 	Mount Foraker - Southwest Peak	16,500	200	AK	Central Alaska Range	.9	0
6.	Mount Blackburn	16,390	11,590	AK	Wrangell Mountains	60.6	7
7.	Mount Blackburn - Southeast Peak	16,286	486	AK	Wrangell Mountains	1.5	2
8.	Mount Sanford	16,237	7637	AK	Wrangell Mountains	40.2	12
 	West Buttress	16,030	30	AK	Central Alaska Range	.4	19
9.	South Buttress	15,885	315	AK	Central Alaska Range	1.2	1
 	Peak 15800	15,800	200	AK	Central Alaska Range	.5	0
10.	Mount Vancouver - Good Neighbor Peak	15,682	328	AK/YT	Southern Icefield Ranges	1.7	1
11.	Mount Bona - West Peak	15,660	360	AK	Northern Saint Elias Mountains	.7	0
12.	Mount Churchill	15,638	1138	AK	Northern Saint Elias Mountains	2.2	1
13.	Mount Fairweather	15,325	13,045	AK/BC	Fairweather Range	124.4	22
 	Mount Foraker - Northwest Peak	15,030	130	AK	Central Alaska Range	.3	0
14.	Mount Hubbard	14,950	7995	AK/YT	Southern Icefield Ranges	21.0	2
15.	Mount Bear	14,831	4988	AK	Northern Saint Elias Mountains	19.3	2
16.	East Buttress	14,730	330	AK	Central Alaska Range	.8	1
 	Peak 14721	14,721	221	AK	Wrangell Mountains	.9	0
 	Peak 14700	14,700	200	AK	Southern Icefield Ranges	.7	0
17.	East Buttress - Peak 14630	14,630	530	AK	Central Alaska Range	1.1	1
18.	Mount Hunter	14,573	4623	AK	Central Alaska Range	5.3	9
19.	Mount Alverstone	14,500	1900	AK/YT	Southern Icefield Ranges	1.5	3
20.	Mount Whitney	14,499	10,079	CA	Sequoia Sierra Nevada	1646.3	4708
21.	University Peak	14,470	3210	AK	Northern Saint Elias Mountains	3.3	2
22.	Aello Peak	14,445	1445	AK	Northern Saint Elias Mountains	3.1	0
23.	Mount Elbert	14,438	9078	CO	Sawatch Range	670.5	2734
24.	Mount Harvard	14,425	2351	CO	Sawatch Range	14.9	698
25.	Mount Massive	14,424	1980	CO	Sawatch Range	5.1	999
 	Peak 14410	14,410	210	AK	Southern Icefield Ranges	1.2	0
26.	Mount Rainier	14,406	13,241	WA	South Washington Cascades	731.1	3693
 	Mount Rainier - Columbia Crest	14,396	8	WA	South Washington Cascades	.1	84
27.	Mount Williamson	14,379	1721	CA	Sequoia Sierra Nevada	5.4	506
28.	Blanca Peak	14,350	5331	CO	Sangre de Cristo Range	103.4	589
29.	La Plata Peak	14,343	1844	CO	Sawatch Range	6.2	826
 	Mount Massive - Northwest Peak	14,337	274	CO	Sawatch Range	.7	113
30.	Uncompahgre Peak	14,315	4246	CO	San Juan Mountains	85.0	656
 	Keeler Needle	14,312	202	CA	Sequoia Sierra Nevada	.1	182
 	Mount Massive - Green Peak	14,311	143	CO	Sawatch Range	.3	94
31.	Crestone Peak East	14,299	4581	CO	Sangre de Cristo Range	27.4	141
 	Crestone Peak	14,299	113	CO	Sangre de Cristo Range	.1	423
32.	Mount Lincoln	14,292	3868	CO	Central Colorado Ranges	22.5	1382
33.	Grays Peak	14,276	2784	CO	Front Range	25.0	1861
34.	Castle Peak	14,274	2358	CO	Elk Range Area	20.9	549
35.	Torreys Peak	14,272	549	CO	Front Range	.7	1700
36.	Mount Antero	14,271	2497	CO	Sawatch Range	17.7	603
36.	Quandary Peak	14,271	1111	CO	Central Colorado Ranges	3.2	1821
38.	Mount Blue Sky	14,267	2751	CO	Front Range	9.8	1526
39.	The Snave	14,260	360	AK	Wrangell Mountains	.5	1
40.	Longs Peak	14,257	2947	CO	Front Range	43.6	1384
41.	Mount Wilson	14,255	4020	CO	San Juan Mountains	33.0	373
 	Mount Blue Sky - West Peak	14,253	117	CO	Front Range	.3	228
 	Crestone Peak - Northeast Peak	14,250	113	CO	Sangre de Cristo Range	.1	32
 	Mount Cameron	14,248	152	CO	Central Colorado Ranges	.5	1211
42.	White Mountain Peak	14,246	7196	CA	West Great Basin Ranges	67.5	1345
43.	North Palisade	14,245	2894	CA	Central Sierra Nevada	32.2	360
 	Crooks Peak	14,245	179	CA	Sequoia Sierra Nevada	.2	120
44.	Mount Shavano	14,226	1610	CO	Sawatch Range	3.8	841
 	Peak 14210	14,210	210	AK	Northern Saint Elias Mountains	.5	0
45.	Mount Belford	14,202	1329	CO	Sawatch Range	3.3	859
